PlantLocation,Alternative,Capacity,Plant_NPV,Plant_IRR,Omega,N_CH4,CO2_Production,Revenue,Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
Plant_0,Upgrading_tech1,80000000,87.54839208045759,0.17271353079956753,73059360.73059356,41552220.19107255,31507140.539521016,15.260626173454211,10.642329880761865,51.73782534072534,16.32293901350283,7999.999999999995,49.36540711748482,12.173113158736982,0.0,0.0,0.0,0.0
Plant_1,Upgrading_tech1,80000000,128.11161713668895,0.22584672604905576,73059360.73059358,41480651.934889115,31578708.795704465,15.245653788017357,10.63875146795267,51.73782534072534,17.329906229635547,7999.999999999997,47.79568973952001,10.815045642890134,0.0,0.0,0.0,0.0
Plant_2,Upgrading_tech1,60000000,66.71906530842983,0.16374535438199422,54794520.54794519,31424504.908984043,23370015.638961148,11.499933823074066,8.305282775333007,42.69592899836638,12.990568116618926,7999.999999999997,49.2850393695521,10.786171507133073,0.0,0.0,0.0,0.0
Plant_3,Upgrading_tech1,80000000,110.34176449479772,0.2027655708704108,73059360.73059356,41815111.078279085,31244249.65231448,15.315624071977387,10.655474425122172,51.73782534072534,17.469637533804264,7999.999999999995,48.69656046428536,13.020522253768675,0.0,0.0,0.0,0.0
Plant_4,Upgrading_tech1,60000000,65.90698350310598,0.1624217152339651,54794520.547946185,31638453.351048756,23156067.19689743,11.5446927526476,8.315980197436488,42.69592899836751,13.204541951305275,8000.000000000143,50.042802420614336,11.786643148488452,0.0,0.0,0.0,0.0
Plant_5,Upgrading_tech1,80000000,79.99610158244401,0.16259898919178561,73059360.73059359,41544949.88157709,31514410.849016506,15.259105193597737,10.641966365287066,51.73782534072534,15.730416303650347,7999.999999999998,48.672659154013765,11.75793594686171,0.0,0.0,0.0,0.0
Plant_6,Upgrading_tech1,80000000,144.426661263074,0.24686241669026798,73059360.73059396,41461754.99736662,31597605.73322734,15.241700467827005,10.637806621076551,51.73782534072625,17.322011412654224,8000.000000000039,47.992009612728886,12.248505401274398,0.0,0.0,0.0,0.0
Plant_7,Upgrading_tech1,40000000,34.75812813103165,0.12854630817971335,36529680.365296766,20950978.82849538,15578701.53680139,7.666896373932053,5.845790841636424,32.57818632069874,8.644760198837314,7999.999999999993,49.944107797485614,9.743524666575228,0.0,0.0,0.0,0.0
Plant_8,Upgrading_tech1,80000000,98.27775571457086,0.1869366841011244,73059360.73059356,41522166.30870655,31537194.421887014,15.254338772661484,10.64082718664354,51.73782534072534,16.892972390824944,7999.999999999995,48.46948197036471,10.694058178403104,0.0,0.0,0.0,0.0
Plant_9,FlexEEG_biogas,80000000,26.618394022707484,0.09618801150468226,73059360.73059356,41212388.110899866,31846972.6196937,24.062371639915636,8.564718871208212,41.84731101860637,0.0,7999.999999999995,50.00866636569815,10.708627622109992,12.643454098906265,5.423715124946867,3.2871000757253737,2.348258887117695
